end_time,start_time,duration,time_offset,exercise_type,max_speed,calorie,mean_speed,update_time,live_data,distance,datauuid,create_time
2018-06-29 07:39:04.000,2018-06-29 07:02:00.000,2224619,UTC+0100,1001,3.2591002,140.20801,1.423978,2018-06-29 07:41:34.458,4ff71e27-09b1-48ed-92d0-e96e7421ae5a.live_data.json,3167.8086,4ff71e27-09b1-48ed-92d0-e96e7421ae5a,2018-06-29 07:41:34.458
2018-06-05 16:32:43.000,2018-06-05 16:13:09.000,1174030,UTC+0100,1001,2.2546115,74.385254,1.4135939,2018-06-05 16:33:53.570,514b3438-0868-4d83-b23f-2b6d651b9e1d.live_data.json,1659.6016,514b3438-0868-4d83-b23f-2b6d651b9e1d,2018-06-05 16:33:53.570
2018-08-10 15:16:46.000,2018-08-10 14:51:23.000,1523893,UTC+0200,1001,2.1668866,103.74994,1.5107799,2018-08-10 15:19:14.214,546ef210-86ef-4c3d-b53c-1ebac727e617.live_data.json,2302.2668,546ef210-86ef-4c3d-b53c-1ebac727e617,2018-08-10 15:19:14.214
2018-08-06 10:15:01.000,2018-08-06 09:48:13.000,1607524,UTC+0200,1001,1.7009591,96.66937,1.3306572,2018-08-06 10:16:00.354,55fb3026-85f4-42e7-95b6-f92ff1eaf694.live_data.json,2139.0635,55fb3026-85f4-42e7-95b6-f92ff1eaf694,2018-08-06 10:16:00.354
2019-01-15 16:03:31.032,2019-01-15 15:31:44.951,1905457,UTC+0100,1002,3.6599998,420.0,2.941799,2019-01-15 16:04:56.631,562c0430-e6d4-4f79-94c0-fa0c05314bd5.live_data.json,5592.36,562c0430-e6d4-4f79-94c0-fa0c05314bd5,2019-01-15 15:31:44.961
2018-11-02 17:17:04.000,2018-11-02 16:18:00.000,3543485,UTC+0100,1001,1.8374181,210.69531,1.3129044,2018-11-02 17:23:50.981,5643843f-6ae5-429c-b8bd-019ce2c5fc27.live_data.json,4652.257,5643843f-6ae5-429c-b8bd-019ce2c5fc27,2018-11-02 17:23:50.981
2018-06-18 16:50:33.000,2018-06-18 16:15:13.000,2119034,UTC+0100,1001,1.6783743,136.1784,1.4238892,2018-06-18 17:11:43.689,56ccaef4-e7af-4f7b-bc64-fd70d3141fad.live_data.json,3017.2695,56ccaef4-e7af-4f7b-bc64-fd70d3141fad,2018-06-18 17:11:43.689
2018-11-11 15:34:09.000,2018-11-11 13:34:05.000,7203396,UTC+0100,1001,1.6134883,414.23315,1.2627851,2018-11-11 15:40:03.448,57aa57d0-46de-406a-825d-7df89d00fd42.live_data.json,9096.341,57aa57d0-46de-406a-825d-7df89d00fd42,2018-11-11 15:40:03.448
2018-10-21 13:58:12.000,2018-10-21 13:39:00.000,1152168,UTC+0200,1001,1.66183,74.78525,1.4475269,2018-10-21 14:01:08.615,5826474f-8b6c-4946-a19b-66517e3e12d3.live_data.json,1667.7942,5826474f-8b6c-4946-a19b-66517e3e12d3,2018-10-21 14:01:08.615
2018-08-18 13:29:05.000,2018-08-18 12:57:04.000,1920562,UTC+0200,1001,1.649377,112.34793,1.290735,2018-08-18 13:41:40.232,58d0755a-186a-473e-acc5-044bd1b77b89.live_data.json,2478.9365,58d0755a-186a-473e-acc5-044bd1b77b89,2018-08-18 13:41:40.232
2018-07-25 09:59:37.000,2018-07-25 09:35:00.000,1477585,UTC+0100,1001,1.7686666,89.51514,1.3396332,2018-07-25 10:06:48.927,58e713bb-8a32-4317-8c32-4c187357410b.live_data.json,1979.4219,58e713bb-8a32-4317-8c32-4c187357410b,2018-07-25 10:06:48.927
2018-10-27 20:14:24.000,2018-10-27 20:03:00.000,684325,UTC+0200,1001,3.7077806,46.59555,1.4375236,2018-10-28 14:07:25.855,59dacc50-809a-43ac-b722-b53c69da3267.live_data.json,983.7334,59dacc50-809a-43ac-b722-b53c69da3267,2018-10-28 14:07:25.855
2018-08-11 14:08:58.000,2018-08-11 13:47:00.000,1318099,UTC+0200,1001,1.5946295,74.72064,1.2494452,2018-08-11 14:12:32.333,5bf29ac0-7514-4ea0-95c7-449cb4c72c72.live_data.json,1646.8926,5bf29ac0-7514-4ea0-95c7-449cb4c72c72,2018-08-11 14:12:32.333
